sw,sw,sw,sw,SC-S,p,p,p,p,p,p,p,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,em,em,em,em,em,em,em,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,em,em,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef
SC-S,SC-S,SC-S,SC-S,SC-N,p,p,p,p,SC-S,r,r,ef,ef,em,em,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,em,em,em,SC-S,SC-S,em,ef,em,em,em,ef,ef,ef,ef,ep,ef,ef,ef,ef,em,em,em,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef
SC-N,SC-N,SC-N,SC-N,p,p,p,p,p,SC-N,SC-S,r,ef,ef,ef,em,em,ef,ef,em,ef,ef,ef,ef,ef,ef,em,em,em,ef,SC-S,SC-N,SC-N,SC-S,ef,ef,em,em,em,em,em,em,ep,ep,ep,ef,em,em,em,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef
SC-S,SC-S,SC-S,SC-S,p,p,p,p,p,p,SC-N,SC-S,r,ef,ef,em,em,em,em,em,ef,em,em,ef,ef,em,em,ef,ef,SC-S,SC-N,SC-S,SC-S,SC-N,SC-S,ef,ef,ef,em,em,ef,em,em,ep,em,em,em,ef,ef,ef,ef,ep,ep,ef,ef,ef,ef,em,ef,ef,ef,ef,ef,ef
SC-N,SC-N,SC-N,SC-N,p,p,p,p,p,p,p,SC-N,SC-S,r,ef,ep,ep,em,ef,em,ep,ep,em,em,em,em,ef,ef,SC-S,SC-N,SC-S,SC-N,SC-N,SC-S,SC-N,SC-S,ef,ef,ef,ef,ef,ef,em,em,em,em,ef,ef,ef,ef,ef,ep,ep,ef,ef,ef,ef,em,em,ef,ef,ef,ef,ef
SC-S,SC-S,SC-S,df,p,p,SC-S,SC-S,SC-S,SC-S,p,p,SC-N,r,ef,ep,ep,ef,r,ef,ep,ep,ef,em,em,ef,r,SC-S,SC-N,SC-S,SC-N,ep,ep,SC-N,SC-S,SC-N,SC-S,r,ef,ef,ef,ef,ef,em,em,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,ef,em,em,em,em,ef,ef,ef,ef
SC-N,SC-N,SC-N,SC-S,p,p,SC-N,SC-N,SC-N,SC-N,SC-S,p,SC-S,r,ef,ef,ef,r,SC-S,r,ef,ef,em,em,ef,ef,r,SC-N,SC-S,SC-N,UG,ep,ep,UG,SC-N,SC-S,SC-N,r,ef,ef,ef,ef,ef,ef,em,em,ef,ef,ef,ef,ef,ef,ef,ef,ef,em,em,ef,ef,em,em,ef,ef,ef
SC-S,SC-S,SC-S,SC-N,p,p,SC-S,r,sg,sg,SC-N,SC-S,SC-N,r,ef,r,r,SC-S,SC-N,SC-S,ef,ef,em,ef,ef,r,SC-S,SC-S,SC-N,sa,UG,UG,UG,UG,sa,SC-N,SC-S,SC-S,r,tg,ef,ef,ef,ef,em,em,ef,ef,ef,ef,ef,ef,ef,ef,ef,em,ef,ef,ef,ef,em,em,ef,ef
SC-N,SC-N,SC-N,df,p,p,SC-N,r,sa,sa,sg,SC-N,SC-S,r,r,SC-S,SC-S,SC-N,r,SC-N,tg,ef,ef,ef,ef,r,SC-N,SC-N,sa,sa,sa,UG,UG,sa,sa,sa,SC-N,SC-N,r,,tg,ef,ef,ef,ef,em,em,ef,ef,tg,sg,tg,sg,r,r,r,ef,ef,ef,ef,ef,ef,ef,ef
SC-S,SC-S,SC-S,SC-S,p,SC-S,r,sg,r,tg,sa,r,SC-N,SC-S,SC-S,SC-N,SC-N,r,sg,r,sa,sg,ef,ef,ef,ef,r,mu,mu,RV1,mu,DWC,DWC,mu,RV1,mu,mu,r,tg,tg,sg,sg,ef,ef,ef,ef,em,ef,sg,sg,sg,r,r,SC-S,SC-S,SC-S,r,ef,ef,ef,ef,ef,ef,ef
