SC-S,CG,CG,R,R,R,R,R,R,R,R,R,R,R,SC-S,SC-S,SG,SG,SG,SG,SG,SG,SG,SG,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,EF,EF,EF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF
CG,R,CG,R,R,R,R,R,R,R,R,SC-S,SC-S,SC-S,SG,SG,SG,SG,SG,SG,SG,SG,SG,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,EF,EF,EF,EF,EF,EF,EF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF
CG,R,R,R,SC-S,SC-S,STRS-S,STRS-S,SC-S,SC-S,SC-S,SG,SG,SG,SG,SG,SG,SG,SG,SG,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,EF,EF,EF,EF,EF,EF,EF,EF,EF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF
SC-S,SC-S,SC-S,SC-S,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,FP-S-NS,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,EF,EF,EF,EM,EM,EM,EF,EF,EF,EF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF
SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,DF,FP-E-NE,FP-E-SW,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,EF,EF,EF,EM,EM,CG,CG,EM,EM,EF,EF,EF,DF,DF,DF,DF,DF,DF,DF,DF,T3,DF,T3,DF,DF,DF,DF,DF,DF,DF
SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,DF,DF,DF,DF,DF,FP-E-NE,FP-S-EW,FP-S-EW,FP-E-SW,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,EF,EF,EF,EF,EM,CG,CG,EP,EP,EM,EM,EF,EF,EF,DF,DF,DF,DF,DF,DF,T1,R,DF,R,T1,DF,DF,DF,DF,DF,DF
SG,SG,SG,SG,SG,SG,SG,SG,SG,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,FP-E-NE,FP-E-SW,DF,DF,DF,DF,DF,DF,DF,DF,DF,EF,EF,EF,EM,CG,CG,CG,EP,EP,EP,EM,EM,EF,EF,DF,DF,DF,DF,DF,T2,R,DF,DF,DF,R,T2,DF,DF,DF,DF,DF
SG,SG,DF,DF,DF,FP-S-NS,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,FP-E-NE,FP-E-SW,DF,DF,DF,DF,DF,DF,DF,EF,EF,EF,EF,EM,CG,EP,EP,EP,EP,EP,EP,EM,EF,EF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF
DF,DF,DF,DF,DF,FP-S-NS,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,FP-E-NE,FP-S-EW,FP-E-SW,DF,DF,DF,DF,DF,EF,EF,EF,EF,EM,EM,EP,EP,EP,EP,EP,EP,EM,EF,DF,DF,DF,DF,DF,T1,R,DF,DF,DF,DF,DF,R,T3,DF,DF,DF,DF
DF,DF,DF,DF,DF,FP-E-NE,FP-E-SW,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,DF,FP-E-NE,FP-E-SW,DF,DF,DF,DF,EF,EF,EF,EF,EF,EM,EM,EP,EP,EP,EP,EM,EM,EF,EF,DF,DF,DF,DF,T1,R,DF,DF,R,DF,DF,R,T1,DF,DF,DF,DF
